Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A14006_001
"36047011200","14000US36047011200","Census Tract 112","Census Tract 112, Kings County, New York","ny","140","00","ACSSF","0004565",,,,,"36","047",,,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6188,33673
"36047011400","14000US36047011400","Census Tract 114","Census Tract 114, Kings County, New York","ny","140","00","ACSSF","0004566",,,,,"36","047",,,,"011400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796,47306
"36047011600","14000US36047011600","Census Tract 116","Census Tract 116, Kings County, New York","ny","140","00","ACSSF","0004567",,,,,"36","047",,,,"011600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3594,40640
"36047011700","14000US36047011700","Census Tract 117","Census Tract 117, Kings County, New York","ny","140","00","ACSSF","0004568",,,,,"36","047",,,,"011700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677,101628
"36047011800","14000US36047011800","Census Tract 118","Census Tract 118, Kings County, New York","ny","140","00","ACSSF","0004569",,,,,"36","047",,,,"011800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105,54236
"36047011900","14000US36047011900","Census Tract 119","Census Tract 119, Kings County, New York","ny","140","00","ACSSF","0004570",,,,,"36","047",,,,"011900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322,93854
"36047012000","14000US36047012000","Census Tract 120","Census Tract 120, Kings County, New York","ny","140","00","ACSSF","0004571",,,,,"36","047",,,,"012000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,50833
"36047012100","14000US36047012100","Census Tract 121","Census Tract 121, Kings County, New York","ny","140","00","ACSSF","0004572",,,,,"36","047",,,,"012100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,98906
"36047012200","14000US36047012200","Census Tract 122","Census Tract 122, Kings County, New York","ny","140","00","ACSSF","0004573",,,,,"36","047",,,,"012200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5482,50384
"36047012600","14000US36047012600","Census Tract 126","Census Tract 126, Kings County, New York","ny","140","00","ACSSF","0004574",,,,,"36","047",,,,"012600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,53621
