,index,County Code,Site Num,Parameter Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,County Name
48,1703426,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-13,Parts per billion,8,100.0,8.0625,10.3,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
49,1715919,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-13,Parts per billion,6,75.0,3.833333,5.8,17,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
50,1703061,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-13,Parts per billion,24,100.0,8.104167,12.0,7,17.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
51,1715555,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-13,Parts per billion,22,92.0,4.263636,11.7,7,16.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
52,1715920,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-14,Parts per billion,7,88.0,5.4,7.4,11,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
53,1703427,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-14,Parts per billion,8,100.0,11.375,17.7,23,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
54,1703062,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-14,Parts per billion,24,100.0,11.420833,19.4,5,27.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
55,1715556,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-14,Parts per billion,23,96.0,5.5,8.9,7,11.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
56,1715921,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-15,Parts per billion,8,100.0,9.725,18.2,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
57,1703428,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-15,Parts per billion,8,100.0,16.7,34.0,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
58,1703063,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-15,Parts per billion,24,100.0,16.725,37.5,7,52.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
